"time [s]"," distance [m]"," watts [W]"," heartrate [bpm]"," cadence [rpm]"," velocity_smooth [m/s]"," altitude [msnm]"
"3095","10958.2","152","179","79","2.256","2959.2"
"3096","10959.8","161","178","79","2.124","2959.4"
"3097","10961.3","164","178","82","1.966","2959.4"
"3098","10963","147","176","81","1.826","2959.8"
"3099","10964.8","169","176","76","1.784","2960"
"3100","10966.4","182","176","76","1.638","2960"
"3101","10967.9","182","176","78","1.62","2960.4"
"3102","10969.4","159","176","77","1.634","2960.4"
"3103","10971.1","196","176","77","1.63","2960.6"
"3104","10971.8","196","177","79","1.406","2960.8"
"3105","10972.8","210","176","88","1.278","2961"
"3106","10974.9","209","176","93","1.4","2961"
"3107","10977.5","118","176","92","1.606","2961.4"
"3108","10980.4","121","177","89","1.848","2961.8"
"3109","10983.7","117","178","88","2.376","2962"
"3110","10988","132","177","90","3.048","2962.2"
"3111","10992.9","130","177","90","3.608","2962.2"
"3112","10998","119","177","91","4.102","2962.4"
"3113","11001.9","112","178","87","4.298","2962.4"
"3114","11005.5","157","176","85","4.36","2962.6"
"3115","11008.9","136","176","86","4.188","2962.6"
"3116","11012.3","157","176","87","3.862","2962.8"
"3117","11015.4","130","176","84","3.49","2963"
"3118","11018.9","184","175","82","3.404","2963"
"3119","11022.1","233","176","82","3.314","2963.2"
"3120","11025.2","191","175","85","3.244","2963.4"
"3121","11029.2","200","176","86","3.396","2963.6"
"3122","11033.3","151","175","86","3.588","2963.8"
"3123","11036.5","221","176","83","3.514","2963.8"
"3124","11039.3","202","176","84","3.436","2964"
"3125","11042.6","205","176","82","3.494","2964.2"
"3126","11045.6","221","176","79","3.278","2964.4"
"3127","11047.6","189","176","78","2.854","2964.4"
"3128","11048.8","208","176","76","2.468","2964.6"
"3129","11051.7","207","176","78","2.488","2965"
"3130","11054.3","211","176","79","2.332","2965.4"
"3131","11056.6","194","176","81","2.192","2965.6"
"3132","11058.7","212","176","76","2.218","2965.8"
"3133","11061","175","176","76","2.452","2966.2"
"3134","11063.9","190","176","79","2.438","2966.8"
"3135","11066.9","200","176","79","2.514","2967"
"3136","11070.6","199","176","77","2.806","2967"
"3137","11074.3","192","176","81","3.122","2967"
"3138","11077.2","137","176","79","3.234","2967.2"
"3139","11079.3","171","176","76","3.09","2967.2"
"3140","11081.1","197","176","79","2.844","2967.6"
"3141","11082.6","153","175","78","2.392","2968"
"3142","11084.1","167","174","78","1.964","2968.4"
"3143","11085.5","162","174","78","1.658","2968.6"
"3144","11087.8","194","174","77","1.698","2968.8"
"3145","11090.1","178","175","79","1.81","2968.8"
"3146","11091.8","156","176","80","1.838","2969"
"3147","11093.6","172","176","80","1.9","2969.4"
"3148","11096.1","149","176","85","2.116","2969.6"
"3149","11098.4","177","176","85","2.11","2969.6"
"3150","11100","175","175","89","1.974","2969.8"
"3151","11102.5","149","176","89","2.158","2969.8"
"3152","11105.1","111","176","92","2.292","2970"
"3153","11107.6","138","176","91","2.296","2970.2"
"3154","11110.7","125","176","89","2.472","2970.2"
"3155","11113.4","149","176","85","2.686","2970.4"
"3156","11115.7","229","176","82","2.626","2970.6"
"3157","11117.3","208","176","86","2.442","2970.6"
"3158","11119.5","192","176","88","2.384","2970.6"
"3159","11122.1","188","176","87","2.272","2971"
"3160","11125","224","176","83","2.31","2971.2"
"3161","11127.6","252","176","80","2.376","2971.6"
"3162","11130.1","214","176","77","2.55","2972"
"3163","11133","309","175","69","2.694","2972.2"
"3164","11135.9","266","175","76","2.758","2972.2"
"3165","11139.2","216","175","71","2.834","2972.6"
"3166","11142.2","218","176","63","2.93","2972.8"
"3167","11145.7","315","176","67","3.13","2972.8"
"3168","11149.7","290","176","72","3.346","2973"
"3169","11153.7","257","176","73","3.57","2973.4"
"3170","11158.2","221","176","73","3.81","2973.8"
"3171","11162.8","188","175","73","4.11","2974"
"3172","11166.2","215","175","71","4.104","2974.2"
"3173","11169.7","208","176","73","4.01","2974.4"
"3174","11174.9","230","176","75","4.224","2974.6"
"3175","11179","186","176","76","4.17","2975"
"3176","11183","181","176","74","4.042","2975.4"
"3177","11187.1","173","176","70","4.182","2975.4"
"3178","11192.4","181","176","67","4.526","2975.6"
"3179","11198.3","178","176","67","4.682","2975.8"
"3180","11201.4","178","178","69","4.476","2976"
"3181","11204.6","181","178","85","4.324","2976"
"3182","11208.1","205","176","87","4.19","2976.4"
"3183","11211.1","205","176","86","3.742","2976.6"
"3184","11213.7","148","176","84","3.086","2976.8"
"3185","11215.8","174","175","84","2.878","2977.2"
"3186","11218.7","174","176","79","2.814","2977.4"
"3187","11221.2","185","176","80","2.618","2977.6"
"3188","11224","166","176","80","2.59","2978"
"3189","11229.6","178","175","78","3.174","2978.2"
"3190","11232.5","179","176","77","3.332","2978.4"
"3191","11235.4","174","176","77","3.356","2978.4"
"3192","11238.3","173","176","75","3.426","2978.8"
"3193","11239.8","150","175","72","3.156","2979"
"3194","11241.7","168","176","68","2.432","2979.2"
"3195","11243.4","197","176","70","2.192","2979.2"
"3196","11245.7","220","175","70","2.058","2979.4"
"3197","11249","220","174","71","2.132","2979.6"
"3198","11252.2","195","176","68","2.484","2979.8"
"3199","11255.5","214","175","71","2.744","2980"
"3200","11259","198","175","73","3.114","2980.2"
"3201","11261.3","208","174","71","3.12","2980.4"
"3202","11263.9","247","174","71","2.99","2980.4"
"3203","11266.7","247","174","74","2.894","2980.6"
"3204","11269.4","232","174","77","2.792","2980.6"
"3205","11272.4","217","174","78","2.676","2980.8"
"3206","11275.3","194","175","77","2.784","2981"
"3207","11278.9","217","176","78","2.998","2981.4"
"3208","11282.5","210","175","77","3.158","2981.8"
"3209","11285.5","181","176","79","3.224","2982.2"
"3210","11288.3","202","176","75","3.174","2982.4"
"3211","11290.6","237","176","75","3.062","2982.6"
"3212","11292.7","249","176","73","2.76","2982.8"
"3213","11295","189","176","76","2.494","2983"
"3214","11296.8","192","176","74","2.26","2983.2"
"3215","11298.9","236","176","75","2.128","2983.4"
"3216","11301.3","208","176","75","2.156","2983.6"
"3217","11303.8","208","176","77","2.222","2983.8"
"3218","11306","201","176","75","2.202","2984"
"3219","11308.3","209","176","74","2.292","2984.2"
"3220","11310.4","175","175","71","2.304","2984.4"
"3221","11312.4","217","176","68","2.204","2984.6"
"3222","11314.6","227","176","67","2.16","2985"
"3223","11317","231","175","66","2.198","2985.2"
"3224","11319.1","245","175","69","2.16","2985.6"
"3225","11321.6","213","175","70","2.23","2985.8"
"3226","11324.1","254","175","74","2.348","2985.8"
"3227","11326.7","229","176","74","2.408","2986.2"
"3228","11329","229","175","76","2.398","2986.2"
"3229","11331.1","184","175","76","2.406","2986.4"
"3230","11332.5","183","176","76","2.196","2986.6"
"3231","11335.4","183","176","74","2.252","2986.8"
"3232","11337.2","179","176","72","2.116","2987.2"
"3233","11339.3","171","176","70","2.07","2987.4"
"3234","11341.5","206","176","70","2.072","2987.8"
"3235","11344","189","176","73","2.282","2987.8"
"3236","11346.7","182","176","73","2.26","2988"
"3237","11348.8","188","176","72","2.32","2988.2"
"3238","11350.7","173","176","72","2.27","2988.4"
"3239","11353.5","186","175","73","2.41","2988.4"
"3240","11356.2","203","175","74","2.446","2988.6"
"3241","11358.1","239","176","74","2.286","2989"
"3242","11360.4","239","176","81","2.314","2989.4"
"3243","11362.7","222","177","85","2.408","2989.6"
"3244","11365.6","368","177","88","2.42","2989.6"
"3245","11368.4","234","176","96","2.44","2989.8"
"3246","11371.4","175","176","93","2.66","2990.2"
"3247","11374.5","171","176","89","2.812","2990.4"
"3248","11377.8","172","175","85","3.028","2990.8"
"3249","11380.6","175","176","82","3","2991"
"3250","11384.1","232","175","79","3.136","2991.2"
"3251","11386.4","193","176","82","3","2991.4"
"3252","11389.8","218","175","80","3.07","2991.4"
"3253","11392.9","179","175","80","3.018","2991.4"
"3254","11396.2","206","175","80","3.108","2991.8"
"3255","11399.7","188","175","83","3.12","2992"
"3256","11402.9","173","176","79","3.296","2992"
"3257","11406.4","161","176","75","3.318","2992.2"
"3258","11409.8","193","176","75","3.376","2992.6"
"3259","11412.4","193","175","72","3.252","2992.8"
"3260","11415","221","175","71","3.064","2993.2"
"3261","11418.3","244","175","71","3.082","2993.4"
"3262","11420.7","244","176","69","2.86","2993.6"
"3263","11422.8","211","176","68","2.606","2993.6"
"3264","11424.6","222","175","68","2.436","2993.8"
"3265","11426.7","222","175","65","2.344","2994"
"3266","11429.2","180","175","62","2.178","2994.2"
"3267","11431.7","214","176","62","2.188","2994.4"
"3268","11433.8","201","176","64","2.19","2994.6"
"3269","11435.4","240","176","63","2.166","2995.2"
"3270","11437.2","223","176","64","2.104","2995.4"
"3271","11439.3","235","176","64","2.034","2995.8"
"3272","11441.5","214","176","64","1.966","2996.2"
"3273","11443.7","206","176","64","1.98","2996.2"
"3274","11446.1","229","177","69","2.126","2996.6"
"3275","11449.1","239","177","78","2.376","2996.8"
"3276","11452.4","232","176","91","2.616","2997"
"3277","11455.7","193","176","91","2.852","2997"
"3278","11458.3","162","176","91","2.932","2997.4"
"3279","11461.9","216","176","92","3.174","2997.6"
"3280","11466.1","154","176","93","3.4","2997.6"
"3281","11468.8","106","177","91","3.268","2997.8"
"3282","11471.3","117","177","90","3.106","2998"
"3283","11474.3","122","176","90","3.192","2998.2"
"3284","11477.1","140","176","90","3.038","2998.4"
"3285","11479.5","145","176","90","2.684","2998.6"
"3286","11481.4","157","176","90","2.53","2998.8"
"3287","11483.9","157","176","88","2.524","2998.8"
"3288","11486.5","126","177","86","2.438","2999"
"3289","11487.4","137","176","81","2.048","2999.2"
"3290","11488.5","147","179","81","1.804","2999.4"
"3291","11491.2","174","178","84","1.952","2999.6"
"3292","11494.1","157","177","84","2.046","2999.8"
"3293","11496.7","157","177","83","2.046","3000"
"3294","11499.5","129","176","82","2.43","3000"
"3295","11502.5","102","176","76","2.796","3000"
"3296","11504.4","147","177","70","2.638","3000.2"
"3297","11506.5","180","177","71","2.468","3000.4"
"3298","11510","140","176","74","2.65","3000.6"
"3299","11512.2","181","177","73","2.538","3000.8"
"3300","11513.9","190","176","76","2.266","3001"
"3301","11515.8","214","176","73","2.294","3001.2"
"3302","11517.7","186","176","74","2.25","3001.6"
"3303","11520.5","194","176","72","2.096","3001.8"
"3304","11523","232","176","73","2.15","3002"
"3305","11525.4","208","175","76","2.308","3002.2"
"3306","11528.6","233","176","77","2.548","3002.6"
"3307","11532.4","249","176","83","2.932","3002.6"
"3308","11535.5","231","176","81","3.002","3002.8"
"3309","11539.5","258","176","87","3.312","3003.2"
"3310","11542.8","224","176","86","3.48","3003.4"
"3311","11546.2","217","177","85","3.526","3003.8"
"3312","11549.5","182","178","85","3.418","3004"
"3313","11552.3","202","177","79","3.378","3004.2"
"3314","11554.8","237","177","78","3.052","3004.6"
"3315","11558","334","176","82","3.042","3004.8"
"3316","11561.6","319","175","96","3.074","3004.8"
"3317","11564.8","208","175","96","3.072","3005"
"3318","11567.8","208","175","101","3.08","3005.2"
"3319","11570.8","187","175","100","3.212","3005.4"
"3320","11573.1","179","175","100","3.01","3005.8"
"3321","11577.8","179","175","98","3.236","3006.2"
"3322","11582.2","119","175","95","3.478","3006.8"
"3323","11586.4","165","175","93","3.734","3007"
"3324","11590.9","165","176","91","4.02","3007.2"
"3325","11594.8","160","176","88","4.356","3007.2"
"3326","11598.5","177","176","90","4.156","3007.2"
"3327","11602.4","133","176","85","4.032","3007.4"
"3328","11605.8","180","176","81","3.878","3007.4"
"3329","11608.8","208","177","78","3.566","3007.6"
"3330","11610.9","185","176","81","3.212","3008"
"3331","11613.1","191","176","81","2.92","3008.2"
"3332","11615.3","191","176","75","2.58","3008.4"
"3333","11619.5","231","176","80","2.728","3008.6"
"3334","11623.8","268","176","80","3.002","3008.6"
"3335","11629","268","176","90","3.614","3009"
"3336","11632.8","253","176","100","3.928","3009.2"
"3337","11635.9","211","176","99","4.134","3009.4"
"3338","11639.4","148","176","97","3.99","3009.4"
"3339","11643","197","177","92","3.84","3009.8"
"3340","11646.4","203","176","92","3.49","3010"
"3341","11648.3","232","176","91","3.116","3010.2"
"3342","11650.3","187","176","90","2.88","3010.4"
"3343","11651.7","197","176","90","2.46","3010.6"
"3344","11653.4","216","179","89","2.09","3010.6"
"3345","11655.9","222","179","89","1.894","3010.8"
"3346","11658.8","253","180","89","2.09","3011"
"3347","11661.6","269","182","95","2.256","3011.2"
"3348","11664.2","269","181","95","2.498","3011.6"
"3349","11667","269","181","99","2.714","3011.8"
"3350","11669.6","182","181","101","2.746","3012"
"3351","11673.1","215","182","98","2.86","3012.2"
"3352","11676.1","173","181","101","2.898","3012.4"
"3353","11678.7","184","181","97","2.892","3012.6"
"3354","11681.5","244","181","93","2.892","3012.8"
"3355","11685.2","249","181","80","3.116","3013.2"
"3356","11688.2","279","181","87","3.01","3013.4"
"3357","11691.8","169","181","82","3.128","3013.4"
"3358","11695.9","301","181","73","3.444","3013.4"
"3359","11699.5","142","181","75","3.602","3013.8"
"3360","11703","179","182","69","3.564","3014.2"
"3361","11706.8","243","181","69","3.736","3014.6"
"3362","11709.3","238","181","69","3.516","3014.8"
"3363","11712.6","261","181","67","3.338","3015"
"3364","11716.2","295","181","72","3.336","3015.2"
"3365","11719.9","254","180","72","3.374","3015.2"
"3366","11724","254","181","73","3.424","3015.4"
"3367","11727.7","277","180","72","3.672","3015.4"
"3368","11732.7","283","180","71","4.026","3015.6"
"3369","11736.8","251","181","71","4.136","3015.8"
"3370","11740.7","279","180","72","4.17","3016.2"
"3371","11744.3","275","180","72","4.064","3016.8"
"3372","11748.1","247","182","72","4.082","3017"
"3373","11751.9","231","182","71","3.85","3017.2"
"3374","11756","212","180","72","3.844","3017.4"
"3375","11759.8","183","181","66","3.812","3017.6"
"3376","11763.2","191","180","65","3.782","3017.8"
"3377","11766.5","209","181","65","3.67","3018"
"3378","11769.6","209","181","64","3.53","3018.2"
"3379","11772.5","215","181","63","3.292","3018.4"
"3380","11775","208","181","67","3.048","3018.4"
"3381","11778.3","216","181","77","3.014","3018.6"
"3382","11781.6","209","181","79","3.032","3018.8"
"3383","11785","201","181","82","3.08","3019.2"
"3384","11787.8","189","181","80","3.06","3019.2"
"3385","11790.6","207","181","79","3.12","3019.4"
"3386","11794.4","220","181","78","3.232","3019.8"
"3387","11796.8","236","182","74","3.048","3020"
"3388","11799.4","238","182","74","2.882","3020.4"
"3389","11802.3","234","182","75","2.896","3020.8"
"3390","11805.1","221","182","77","2.898","3020.8"
"3391","11807.8","302","182","77","2.68","3021.4"
"3392","11810.7","239","182","82","2.778","3021.6"
"3393","11814","212","182","82","2.912","3021.8"
"3394","11816.3","213","181","79","2.806","3022"
"3395","11819.3","197","181","80","2.834","3022.2"
"3396","11822.7","217","181","80","2.984","3022.2"
"3397","11825.5","217","181","79","2.96","3022.4"
"3398","11828.4","208","181","81","2.896","3022.4"
"3399","11831.3","234","181","82","3","3023"
"3400","11833.9","244","180","84","2.92","3023.2"
"3401","11837.6","223","180","88","2.98","3023.4"
"3402","11840.7","174","179","89","3.028","3023.6"
"3403","11843.8","211","182","89","3.078","3023.6"
"3404","11847","188","180","89","3.138","3023.8"
"3405","11850.3","175","182","89","3.288","3024.2"
"3406","11853.7","175","182","90","3.212","3024.8"
"3407","11856.8","172","181","87","3.23","3025.2"
"3408","11859.1","193","181","88","3.058","3025.4"
"3409","11862.8","152","181","85","3.168","3025.4"
"3410","11865.5","177","181","82","3.036","3025.6"
"3411","11868.8","171","181","82","3.032","3025.8"
"3412","11871.7","173","181","78","2.974","3026.2"
"3413","11874.6","230","181","79","3.088","3026.4"
"3414","11876.8","160","181","79","2.79","3026.4"
"3415","11880","217","181","78","2.904","3026.6"
"3416","11882.6","197","181","78","2.754","3026.6"
"3417","11885.4","197","182","79","2.742","3026.6"
"3418","11887.9","185","181","78","2.668","3027"
"3419","11890.5","215","181","78","2.738","3027.2"
"3420","11893.1","215","181","78","2.62","3027.4"
"3421","11895.9","184","181","77","2.658","3027.6"
"3422","11898.6","194","179","77","2.64","3027.6"
"3423","11901.2","194","180","75","2.658","3027.8"
"3424","11903.8","216","181","78","2.67","3028"
"3425","11906.6","201","181","81","2.688","3028.4"
"3426","11909.2","202","181","82","2.666","3028.8"
"3427","11911.9","192","180","85","2.658","3029"
"3428","11914.7","171","180","83","2.7","3029"
"3429","11917.6","178","179","83","2.744","3029"
"3430","11920.4","215","181","86","2.764","3029.2"
"3431","11923.4","225","181","96","2.83","3029.2"
"3432","11926.5","181","181","97","2.93","3029.4"
"3433","11930","190","181","101","3.066","3029.6"
"3434","11933.6","165","182","94","3.202","3029.6"
"3435","11937.1","179","181","93","3.346","3029.8"
"3436","11941.1","181","181","89","3.54","3030"
"3437","11945","165","180","91","3.7","3030.2"
"3438","11948.6","185","180","89","3.712","3030.6"
"3439","11951.8","167","180","87","3.644","3030.8"
"3440","11954.9","161","180","86","3.552","3031.2"
"3441","11958.1","177","180","82","3.404","3031.4"
"3442","11961.2","185","179","80","3.232","3031.6"
"3443","11964.5","270","179","82","3.176","3031.8"
"3444","11967.8","199","179","83","3.194","3031.8"
"3445","11971.3","215","179","82","3.286","3032.2"
"3446","11974.8","203","177","80","3.328","3032.2"
"3447","11978.1","244","177","83","3.372","3032.4"
"3448","11981.3","228","177","83","3.372","3032.6"
"3449","11984.5","241","179","82","3.346","3032.8"
"3450","11987.6","239","179","81","3.258","3033"
"3451","11991.1","216","179","82","3.268","3033.4"
"3452","11994.7","213","180","79","3.324","3033.8"
"3453","11998","251","179","79","3.336","3034"
"3454","12001.1","201","180","81","3.33","3034.2"
"3455","12004.5","210","179","75","3.382","3034.4"
"3456","12007.7","211","179","80","3.328","3034.6"
"3457","12010.8","246","180","82","3.23","3035"
"3458","12014.2","179","179","86","3.248","3035.2"
"3459","12017.6","197","179","83","3.3","3035.4"
"3460","12020.6","198","179","85","3.21","3035.6"
"3461","12023.8","213","178","83","3.214","3035.8"
"3462","12026.3","238","178","83","3.1","3036.2"
"3463","12028.9","181","177","84","2.94","3036.2"
"3464","12031.2","160","178","84","2.718","3036.4"
"3465","12033.6","160","178","79","2.608","3036.6"
"3466","12036.4","171","178","78","2.526","3036.6"
"3467","12038.7","209","177","79","2.476","3036.8"
"3468","12041.5","192","176","82","2.512","3036.8"
"3469","12043.4","200","176","81","2.436","3037.2"
"3470","12046.3","207","176","80","2.534","3037.4"
"3471","12049.6","216","176","82","2.636","3037.6"
"3472","12053","209","176","84","2.856","3038"
"3473","12055.6","218","176","88","2.82","3038"
"3474","12060.3","153","176","90","3.374","3038.2"
"3475","12064","214","176","90","3.542","3038.4"
"3476","12066.7","214","176","88","3.422","3038.6"
"3477","12070.1","177","176","89","3.414","3038.8"
"3478","12073.8","175","176","83","3.644","3038.8"
"3479","12077.5","224","176","74","3.44","3039"
"3480","12081.3","251","176","72","3.47","3039"
"3481","12085","223","176","72","3.66","3039.2"
"3482","12089.2","223","176","75","3.832","3039.2"
"3483","12093.7","201","176","78","3.978","3039.4"
"3484","12098.5","203","177","78","4.204","3039.4"
"3485","12104.4","203","176","85","4.612","3039.4"
"3486","12109.8","172","177","90","4.952","3039.6"
"3487","12113.5","184","178","93","4.844","3039.8"
"3488","12118","194","178","97","4.858","3040"
"3489","12122.5","162","176","103","4.81","3040"
"3490","12127.2","172","176","105","4.566","3040"
"3491","12132.2","153","176","100","4.482","3040.2"
"3492","12136.2","157","176","90","4.554","3040.2"
"3493","12143","156","176","94","5.004","3040.4"
"3494","12148.3","118","178","98","5.148","3040.4"
"3495","12153.6","121","177","97","5.27","3040.6"
"3496","12159.1","120","176","86","5.376","3040.6"
"3497","12165.2","141","176","85","5.798","3040.6"
"3498","12171.4","107","176","84","5.674","3040.6"
"3499","12177","110","176","83","5.746","3040.6"
"3500","12182.7","149","176","83","5.814","3040.8"
"3501","12187.1","110","176","84","5.598","3041"
"3502","12193.6","143","176","84","5.682","3041"
"3503","12199.2","97","176","86","5.57","3041.2"
"3504","12205.2","132","176","86","5.626","3041.2"
"3505","12210.6","138","176","89","5.586","3041.4"
"3506","12217.9","123","176","91","6.162","3041.4"
"3507","12224.6","151","177","91","6.204","3041.6"
"3508","12232.6","198","178","93","6.664","3041.6"
"3509","12239.8","217","178","94","6.94","3041.4"
"3510","12247","182","177","99","7.278","3041.4"
"3511","12252.5","0","176","99","6.92","3041.4"
"3512","12261.4","0","176","99","7.348","3041.4"
"3513","12269.1","0","176","0","7.302","3041"
"3514","12277.1","16","175","32","7.454","3040.6"
"3515","12284.7","110","175","90","7.552","3040.2"
"3516","12292","104","175","92","7.896","3040.2"
"3517","12299.1","55","175","92","7.536","3040.2"
"3518","12305.8","55","175","91","7.356","3040.2"
"3519","12312.7","55","174","88","7.114","3040.4"
"3520","12319.4","52","173","90","6.938","3040.6"
"3521","12326.2","60","171","87","6.846","3040.6"
"3522","12332.8","103","171","85","6.746","3040.6"
"3523","12339.3","100","171","85","6.694","3040.8"
"3524","12345.4","100","171","82","6.542","3040.8"
"3525","12351.3","111","171","79","6.374","3041"
"3526","12357","167","171","79","6.158","3041"
"3527","12362.1","167","171","76","5.864","3040.8"
"3528","12367.2","248","171","81","5.576","3040.8"
"3529","12372.5","268","171","81","5.416","3040.8"
"3530","12377.7","268","169","82","5.288","3040.8"
"3531","12382.9","211","168","77","5.19","3040.8"
"3532","12387.6","193","168","77","5.092","3041"
"3533","12392.1","193","167","71","4.982","3041.2"
"3534","12396.7","250","168","77","4.834","3041.4"
"3535","12400.2","210","168","79","4.496","3041.4"
"3536","12404.8","220","168","86","4.368","3041.4"
"3537","12410.6","322","169","94","4.608","3041.4"
"3538","12415.6","248","169","97","4.69","3041.6"
"3539","12419.1","201","170","96","4.484","3041.8"
"3540","12423.1","166","169","98","4.574","3042"
"3541","12427.2","226","170","88","4.494","3042.6"
"3542","12430.9","188","170","85","4.058","3042.8"
"3543","12434.6","216","170","83","3.806","3043"
"3544","12438.2","190","170","83","3.82","3043.2"
"3545","12441.7","211","171","80","3.728","3043.2"
"3546","12444.5","205","171","79","3.444","3043.2"
"3547","12448.2","173","171","79","3.462","3043.2"
"3548","12451.5","190","171","78","3.372","3043.4"
"3549","12455","256","171","78","3.362","3043.4"
"3550","12459.4","439","171","95","3.53","3043.4"
"3551","12464.2","300","171","102","3.942","3043.4"
"3552","12469","167","171","109","4.15","3043.6"
"3553","12473.4","186","172","47","4.384","3043.8"
"3554","12477.6","100","172","91","4.53","3044"
"3555","12482.3","143","172","84","4.576","3044.2"
"3558","12496.1","143","171","91","4.546","3044.6"
"3559","12501.3","143","171","91","4.742","3044.8"
"3560","12506.1","94","171","92","4.778","3044.8"
"3561","12510.7","76","171","92","4.735","3044.8"
"3562","12515.3","106","171","92","4.724","3044.8"
"3563","12520.2","110","171","93","4.816","3044.8"
"3564","12525.1","126","171","90","4.752","3045.2"
"3565","12530","118","169","93","4.778","3045.4"
"3566","12534.8","109","167","84","4.83","3045.4"
"3567","12539.8","139","167","78","4.892","3045.4"
"3568","12544.9","157","167","80","4.95","3045.6"
"3569","12550","135","167","80","4.976","3045.8"
"3570","12554.7","174","167","85","4.942","3046"
"3571","12559.5","162","167","77","4.932","3046"
"3572","12564.4","152","167","68","4.926","3046.2"
"3573","12569.5","253","167","68","4.91","3046.4"
"3574","12574.5","214","167","69","4.9","3046.8"
"3575","12579.5","192","166","70","4.952","3047"
"3576","12584.3","159","166","71","4.962","3047.2"
"3577","12589","143","167","72","4.908","3047.2"
"3578","12593.6","107","167","73","4.824","3047.4"
"3579","12598.1","116","167","73","4.716","3047.6"
"3580","12602.7","136","167","77","4.644","3047.6"
"3581","12606.7","116","166","79","4.474","3047.8"
"3582","12612.9","129","166","83","4.782","3048"
"3583","12617.5","107","167","86","4.788","3048.2"
"3584","12624","112","167","87","5.196","3048.2"
"3585","12631.8","103","166","89","5.826","3048.4"
"3586","12637.2","86","167","89","6.11","3048.4"
"3587","12644.9","97","166","89","6.404","3048.4"
"3588","12651.2","114","166","90","6.74","3048.4"
"3589","12656.4","114","166","89","6.464","3048.4"
"3590","12662.5","72","166","92","6.13","3048.4"
"3591","12670.5","90","165","92","6.66","3048.4"
"3592","12677.4","90","165","90","6.5","3048.2"
"3593","12683.8","110","164","90","6.52","3048.2"
"3594","12690.4","108","165","90","6.81","3048.2"
"3595","12695.5","110","164","90","6.596","3048.2"
"3596","12702","121","164","91","6.308","3048.2"
"3597","12709.8","127","164","91","6.49","3048.2"
"3598","12715.2","125","165","92","6.264","3048.2"
"3599","12721.7","130","165","93","6.252","3048.2"
"3600","12729.2","136","165","91","6.744","3048"
"3601","12735.9","123","165","93","6.78","3048"
"3602","12743.8","141","165","92","6.798","3048"
"3603","12749.8","93","165","93","6.938","3048"
"3604","12754.9","198","166","42","6.654","3048"
"3605","12763.3","181","165","85","6.822","3048.2"
"3606","12770.6","195","166","81","6.932","3048.2"
"3607","12776.8","156","166","84","6.606","3048.4"
"3608","12783.7","155","167","82","6.778","3048.4"
"3609","12789.5","132","167","83","6.902","3048.4"
"3610","12798","116","167","84","6.932","3048.4"
"3611","12804.5","108","167","82","6.778","3048.6"
"3612","12810.8","92","167","84","6.8","3048.6"
"3613","12818","127","167","86","6.85","3048.6"
"3614","12823.3","126","166","86","6.776","3048.4"
"3615","12831.1","120","166","89","6.624","3048.4"
"3616","12838.1","97","166","90","6.722","3048.4"
"3617","12846","109","166","89","7.032","3048.2"
"3618","12851.2","116","166","89","6.65","3048.2"
"3619","12859.2","85","166","88","7.18","3048.2"
"3620","12865.5","100","166","88","6.89","3048.2"
"3621","12871.6","132","166","86","6.696","3048.2"
"3622","12877.7","188","167","85","6.332","3048.2"
"3623","12884.1","141","167","85","6.576","3048.2"
"3624","12890.1","152","167","85","6.17","3048.6"
"3625","12895.6","146","167","84","6.014","3048.6"
"3626","12902.5","102","167","85","6.176","3048.8"
"3627","12910.2","125","167","87","6.508","3048.8"
"3628","12918.7","125","166","87","6.924","3048.8"
"3629","12926.9","125","166","89","7.366","3048.8"
"3630","12935.6","127","166","90","7.994","3048.8"
"3631","12943.4","109","166","91","8.186","3048.8"
"3632","12949.9","121","166","89","7.934","3048.8"
"3633","12956.8","151","166","88","7.606","3048.8"
"3634","12963.9","146","166","88","7.396","3049"
"3635","12971","175","166","86","7.08","3049.4"
"3636","12976.8","188","166","83","6.676","3049.4"
"3637","12982.1","160","165","80","6.44","3049.6"
"3638","12986.2","200","165","78","5.892","3049.6"
"3639","12990.9","189","165","77","5.41","3049.6"
"3640","12996","246","164","76","5.008","3049.8"
"3641","13001.7","301","165","77","4.988","3050"
"3642","13006.7","284","166","79","4.92","3050.2"
"3643","13013.1","216","167","79","5.368","3050.4"
"3644","13020.5","161","167","80","5.908","3050.6"
"3645","13026.4","124","167","80","6.068","3050.8"
"3646","13033.3","127","167","81","6.312","3050.8"
"3647","13040","155","166","83","6.664","3051"
"3648","13046.9","127","165","86","6.768","3051.2"
"3649","13053.5","162","164","64","6.604","3051.2"
"3650","13059.9","110","163","88","6.716","3051.2"
"3651","13066.1","108","163","86","6.574","3051.2"
"3652","13072.5","102","162","88","6.492","3051.2"
"3653","13078.9","111","162","85","6.396","3051.4"
"3654","13084.7","125","162","84","6.244","3051.6"
"3655","13091.8","115","161","85","6.374","3051.6"
"3656","13100.1","100","161","87","6.798","3051.6"
"3657","13106.9","122","160","87","6.892","3051.6"
"3658","13113.5","99","160","89","6.928","3051.6"
"3659","13119.8","110","160","87","7.012","3051.6"
"3660","13125.5","129","160","87","6.738","3051.6"
"3661","13131","161","160","87","6.164","3051.6"
"3662","13136.1","153","160","88","5.836","3051.4"
"3663","13141.9","129","160","85","5.672","3051.4"
"3664","13148.1","136","161","81","5.664","3051.4"
"3665","13154","155","161","80","5.7","3051.4"
"3666","13160","137","161","78","5.814","3051.8"
